keys,it
dialogue_spud_being_called_1,"Prossimo passo, il tuo destino ti aspetta."
dialogue_spud_being_called_2,"In testa alla fila, il momento della verità si avvicina."
dialogue_spud_being_called_3,"Avanti, prescelto della stirpe dei tuberi."
dialogue_spud_being_called_4,Congratulazioni! La tua attesa ha avuto successo.
dialogue_spud_being_called_5,La Grande Burocrazia della Patata ti convoca.
dialogue_spud_being_called_6,"Avanza, nobile tubero! I documenti attendono!"
dialogue_spud_being_called_7,Muoviti! Il timbro diventa irrequieto.
dialogue_spud_being_called_8,Muoviti agilmente! Il modulo P-38B necessita di essere compilato.
dialogue_spud_being_called_9,"Vieni avanti, il destino richiede il tuo ingresso."
dialogue_spud_being_called_10,"Avvicinati al bancone del giudizio, tubero."
dialogue_spud_in_office_1,"Per favore, sii paziente. Il tempo è un'illusione."
dialogue_spud_in_office_2,L'attesa costruisce il carattere. E l'amido.
dialogue_spud_in_office_3,La fila si muove in modi misteriosi.
dialogue_spud_in_office_4,La tua posizione è annotata dalle autorità.
dialogue_spud_in_office_5,Fare la fila: la costante universale.
dialogue_spud_in_office_6,Nessun tubero è pronto finché non è stagionato dall'attesa.
dialogue_spud_in_office_7,"Pazienza: non l'unica virtù, ma menzionata."
dialogue_spud_in_office_8,Le ruote burocratiche girano lentamente. Molto lentamente.
dialogue_spud_in_office_9,"Ah, il dolce suono della procedura!"
dialogue_spud_in_office_10,La fila di oggi è l'aneddoto di domani.
dialogue_spud_in_office_11,Il tempo nelle file si piega. È stato misurato.
dialogue_spud_in_office_12,Abilità di attesa: Livello 43 raggiunto!
dialogue_warnings_1,Coloro che si oppongono saranno sbucciati con precisione.
dialogue_warnings_2,I saltafila vengono inviati all'Elaborazione Espressa.
dialogue_warnings_3,Disturbare la fila scatena lezioni sulle file.
dialogue_warnings_4,L'insubordinazione conduce alla Stanza dell'Olio Caldo.
dialogue_warnings_5,"Non dobbiamo essere giusti, solo organizzati."
dialogue_warnings_6,Il Comitato per la Conformità delle Patate vede tutto.
dialogue_warnings_7,Disturbatori: schiacciati senza burro.
dialogue_warnings_8,I creatori di caos diventano hash browns. Rapidamente.
dialogue_warnings_9,I trasgressori affrontano lo status di doppia cottura.
dialogue_warnings_10,Gli Ispettori di Fila hanno contrassegnato la tua esistenza.
dialogue_warnings_11,Il tuo fascicolo: marcato con il timbro ROSSO.
dialogue_misc_1,Dove sono tutti?
dialogue_misc_2,Emergenza? Continua ad aspettare in ordine.
dialogue_misc_3,Hai letto il paragrafo sette dell'accordo di attesa?
dialogue_misc_4,"Proprietà smarrita: trovata, tassata, smarrita."
dialogue_misc_5,"Se una patata si lamenta, produce un suono?"
dialogue_misc_6,Luce sostituita da un cartello: 'Più Tunnel.'
dialogue_misc_7,La morte è temporanea. La burocrazia è eterna.
dialogue_misc_8,Il sistema di archiviazione ha raggiunto la coscienza. Resta calmo.
dialogue_misc_9,I numeri fortunati di oggi non significano nulla. Mi scuso.
dialogue_misc_10,"Apocalisse? Prendi un numero, aspetta di svanire."
dialogue_misc_11,Nessuna prova significa più moduli.
dialogue_document_interaction_1,"Prendi i tuoi documenti, per favore."
dialogue_document_interaction_2,PRENDILI!
